Bubble Gum Charm (🌱 2, 🍀 0, 📋 0),
ЛЕ - Нимфея (🌱 2, 🍀 0, 📋 0),
ЛЕ - Ноктюрн (🌱 1, 🍀 1, 📋 0),
ЛЕ - Огненный цветок (🌱 1, 🍀 1, 📋 0),
ЛЕ - Парнасская роза (🌱 3, 🍀 1, 📋 2),
ЛЕ - Праздник Покрова (🌱 4, 🍀 0, 📋 0),
ЛЕ - Пёстрая рапсодия (🌱 1, 🍀 1, 📋 0),
ЛЕ - Роза ветров (🌱 3, 🍀 0, 📋 1),
ЛЕ - Розмари (🌱 1, 🍀 1, 📋 0),
ЛЕ - Самоцветы (спорт) (🌱 1, 🍀 1, 📋 0),
ЛЕ - Сапфира (🌱 2, 🍀 0, 📋 0),
ЛЕ - Танцор Диско (🌱 2, 🍀 0, 📋 0),
ЛЕ - Фуксиевая балерина (🌱 2, 🍀 0, 📋 0),
ЛЕ - Шанталь (🌱 3, 🍀 2, 📋 3),
ЛЕ - Шарм (🌱 3, 🍀 1, 📋 0),
ЛЕ - Шато Марго (спорт) (🌱 1, 🍀 1, 📋 0),
ЛЕ - Эсмеральда (🌱 1, 🍀 1, 📋 0),
Мария (Дадоян) (🌱 1, 🍀 2, 📋 0),
Н - Адам (🌱 5, 🍀 1, 📋 1),
Н - Дюймовочка (🌱 7, 🍀 0, 📋 1),
Н - Карамель (🌱 2, 🍀 0, 📋 0),
НД - Босфор Восточный (🌱 2, 🍀 0, 📋 0),
НД - Магдалина (🌱 2, 🍀 0, 📋 0),
НД - Одесситка (🌱 8, 🍀 0, 📋 0),
НД - Северная Пальмира (🌱 7, 🍀 0, 📋 0),
НД - Турмалиновая капель (🌱 8, 🍀 2, 📋 0),
НД - Уральские Самоцветы (🌱 2, 🍀 0, 📋 0),
НД - Уссури (🌱 7, 🍀 1, 📋 0),
НК - Аркадия (🌱 2, 🍀 0, 📋 0),
НК - Бантик (🌱 1, 🍀 1, 📋 0),
НК - Вакула (🌱 10, 🍀 0, 📋 0),
НК - Вечная молодость (🌱 4, 🍀 1, 📋 3),
НК - Зависть Богов (🌱 5, 🍀 0, 📋 0),
НК - Калипсо (🌱 3, 🍀 1, 📋 0),
НК - Обручальное кольцо (🌱 2, 🍀 0, 📋 0),
НК - Рафаэлло (🌱 3, 🍀 0, 📋 1),
НК - Румба (🌱 3, 🍀 1, 📋 0),
НК - Рыбачка Соня (🌱 3, 🍀 0, 📋 0),
НК - Снежки (🌱 2, 🍀 0, 📋 0),
НК - Счастье есть! (🌱 5, 🍀 0, 📋 1),
НК - Французский бульвар (🌱 4, 🍀 0, 📋 1),
НК - Чайная роза (🌱 4, 🍀 0, 📋 1),
ПТ - Елизавета (🌱 2, 🍀 0, 📋 0),
ПТ - Инфинити (🌱 5, 🍀 1, 📋 1),
ПТ - Лариса (🌱 2, 🍀 1, 📋 0),
ПТ - Лукреция (🌱 6, 🍀 2, 📋 1),
ПТ - Океанский бриз (🌱 3, 🍀 1, 📋 0),
ПТ - Полярная ночь (🌱 4, 🍀 0, 📋 0),
ПТ - Торжество ночи (🌱 1, 🍀 1, 📋 0),
ПТ - Царская Награда (🌱 4, 🍀 0, 📋 0),
ПТ - Шах-Шахрияр (🌱 2, 🍀 0, 📋 0),
ПТ - Юнона (🌱 1, 🍀 1, 📋 0),
ПТ - Янина (🌱 1, 🍀 1, 📋 0),
РМ - Гжель (🌱 1, 🍀 1, 📋 0),
РМ - Изюминка (🌱 8, 🍀 1, 📋 1),
РМ - Красный шар (🌱 1, 🍀 1, 📋 0),
РМ - Лесная Нимфа (🌱 1, 🍀 1, 📋 0),
РМ - Сладкие грёзы (🌱 6, 🍀 0, 📋 1),
РМ - Фаворитка (🌱 2, 🍀 1, 📋 1),
РМ - Франческа (🌱 2, 🍀 0, 📋 0),
РМ - Царица Савская (🌱 3, 🍀 1, 📋 0),
РС - Андромеда (🌱 3, 🍀 1, 📋 2),
РС - Аннабель (🌱 2, 🍀 1, 📋 0),
РС - Балерина (🌱 2, 🍀 0, 📋 0),
РС - Бьянка (🌱 2, 🍀 2, 📋 0),
РС - Герцогиня (спорт) (🌱 6, 🍀 0, 📋 0),
РС - Гранд-отель (🌱 3, 🍀 0, 📋 1),
РС - Диадема (🌱 5, 🍀 0, 📋 2),
РС - Дриада (🌱 9, 🍀 1, 📋 0),
РС - Знатная Дама (🌱 3, 🍀 0, 📋 0),
РС - Корсар (🌱 4, 🍀 0, 📋 1),
РС - Ледяная роза (🌱 2, 🍀 1, 📋 0),
РС - Мадейра (🌱 4, 🍀 1, 📋 2),
РС - Милорд (🌱 3, 🍀 0, 📋 1),
РС - Мисс Обаяние (🌱 2, 🍀 1, 📋 1),
РС - Модерн (🌱 1, 🍀 1, 📋 0),
РС - Офелия (🌱 3, 🍀 1, 📋 2),
РС - Престиж (🌱 3, 🍀 1, 📋 0),
РС - Стивен (🌱 2, 🍀 0, 📋 0),
РС - Странник (🌱 2, 🍀 1, 📋 0),
РС - Тамерлан (🌱 1, 🍀 1, 📋 0),
РС - Царь-девица (🌱 2, 🍀 1, 📋 1),
РС - Цезарь (🌱 6, 🍀 0, 📋 0),
РС - Чудо (🌱 2, 🍀 0, 📋 0),
РС - Эвелина (🌱 3, 🍀 0, 📋 1),
СК - Афродита (🌱 4, 🍀 0, 📋 1),
СМ - Букет невесты (🌱 2, 🍀 0, 📋 0),
СМ - Дождинка (🌱 3, 🍀 0, 📋 0),
СМ - Огненные мотыльки (🌱 2, 🍀 2, 📋 0),
СМ - Стассия (🌱 1, 🍀 2, 📋 0),
Синичка (Дадоян) (🌱 1, 🍀 1, 📋 0),
Слоновая кость (Крутов) (🌱 1, 🍀 1, 📋 0),
Харьков - 13(2) (🌱 2, 🍀 4, 📋 0),
Харьков - Тёмный лист (🌱 3, 🍀 0, 📋 0),
Ягода-малина (Дадоян) (🌱 2, 🍀 0, 📋 0),
